"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epoch","learning_rate","method","metric.goal","metric.name","optimizer","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.batch_size.q","parameters.epoch.distribution","parameters.epoch.max","parameters.epoch.min","parameters.epoch.q","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.optimizers","parameters.time_embedding_dimss","parameters.weight_decays","time_embedding_dims","weight_decay","train_loss_epoch","train_loss_step","trainer/global_step","val_loss"
"brisk-sweep-8","finished","-","","","2024-11-30T12:47:57.000Z","438","0e7t4nae","472","43","0.07991428420281582","","","","adamW","","","","","","","","","","","","","","","128","0.0001","0.993147909641266","0.9918390512466432","220","Infinity"
"ancient-sweep-6","finished","-","","","2024-11-30T12:37:32.000Z","114","0e7t4nae","184","77","0.03562696245058646","","","","sgd","","","","","","","","","","","","","","","128","0.0003","0.6873061060905457","0.6888880133628845","395","0.68698650598526"
"quiet-sweep-5","finished","-","","","2024-11-30T12:35:22.000Z","125","0e7t4nae","304","78","0.03306235066598253","","","","sgd","","","","","","","","","","","","","","","128","0.0001","0.6883593797683716","0.6891007423400879","239","0.6879727840423584"
"daily-sweep-4","finished","-","","","2024-11-30T12:32:11.000Z","188","0e7t4nae","88","40","0.06673232726068144","","","","sgd","","","","","","","","","","","","","","","256","0.0005","0.6881353855133057","0.6860218644142151","1448","0.6878389120101929"
"lemon-sweep-3","finished","-","","","2024-11-30T12:26:04.000Z","362","0e7t4nae","120","50","0.017901026522853757","","","","adam","","","","","","","","","","","","","","","256","0.0001","0.6949862837791443","0.6835736632347107","1631","0.71982741355896"
"resilient-sweep-2","finished","-","","","2024-11-30T12:17:12.000Z","530","0e7t4nae","224","55","0.03096086465728054","","","","adam","","","","","","","","","","","","","","","256","0.0005","0.7025876045227051","0.6914559602737427","1403","0.7447817921638489"
"snowy-sweep-1","finished","-","","","2024-11-30T12:10:54.000Z","375","0e7t4nae","152","32","0.06264895114950067","","","","sgd","","","","","","","","","","","","","","","256","0.0003","0.13757774233818054","0.13424228131771088","1279","0.1259414702653885"
"noble-sweep-1","crashed","-","","","2024-11-30T11:05:09.000Z","166","5ao4vf5c","88","59","0.06618747136880114","","","","adamW","","","","","","","","","","","","","","","64","0.0003","0.9677510857582092","0.6994906663894653","1380","Infinity"
"efficient-sweep-1","crashed","-","","","2024-11-30T09:34:05.000Z","5402","mjwszevx","240","76","0.012264522258874555","","","","sgd","","","","","","","","","","","","","","","64","0.0005","0.05794549733400345","0.06661689281463623","35096","0.05681535601615906"
"proud-sweep-1","finished","-","","","2024-11-30T08:29:08.000Z","3549","3bkotlcj","72","89","0.09624729956261116","","","","sgd","","","","","","","","","","","","","","","128","0.0005","0.039534177631139755","0.04190703108906746","67519","0.04350834712386131"
"chocolate-sweep-1","finished","-","","","2024-11-30T08:15:48.000Z","476","w3f2cd2c","328","45","0.012436342186772732","","","","adamW","","","","","","","","","","","","","","","256","0.0001","0.04779677465558052","0.04905466362833977","2219","Infinity"
"sleek-sweep-10","finished","-","","","2024-11-30T08:06:31.000Z","185","5y1f4els","216","32","0.026064660198349823","","","","adam","","","","","","","","","","","","","","","256","0.0005","0.6340816617012024","0.45152029395103455","475","0.6114633679389954"
"clean-sweep-9","finished","-","","","2024-11-30T08:03:30.000Z","177","5y1f4els","504","34","0.006876714795483663","","","","sgd","","","","","","","","","","","","","","","256","0.0001","0.06474953144788742","0.06415003538131714","167","0.06294945627450943"
"dazzling-sweep-8","finished","-","","","2024-11-30T08:00:18.000Z","186","5y1f4els","416","49","0.001735800467886195","","","","sgd","","","","","","","","","","","","","","","256","0.0005","0.06388142704963684","0.06111771613359451","237","0.06129620969295502"
"quiet-sweep-7","finished","-","","","2024-11-30T07:54:48.000Z","324","5y1f4els","496","42","0.030042976434055648","","","","adamW","","","","","","","","","","","","","","","256","0.0005","0.06403622031211853","0.06547724455595016","299","0.06429750472307205"
"astral-sweep-5","finished","-","","","2024-11-30T07:41:27.000Z","361","5y1f4els","456","38","0.06202035284551349","","","","adam","","","","","","","","","","","","","","","128","0.0003","0.46547773480415344","0.3887230157852173","363","0.7749933004379272"
"neat-sweep-2","finished","-","","","2024-11-30T07:19:14.000Z","418","5y1f4els","288","95","0.007604903307536159","","","","adamW","","","","","","","","","","","","","","","256","0.0001","0.3639952540397644","0.3660745620727539","692","0.364363431930542"
